,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
72,1070913,Taschereau,pm25,PM2.5,µg/m³,None,2023-10-10T17:33:33+00:00,2023-06-11T21:07:37+00:00,48.665047,-78.68729,PurpleAir Sensor,PurpleAir,160.0,15.631658570660935,47.0,0.745,6.0,21.0,0.0
73,1070914,Begin,pm25,PM2.5,µg/m³,None,2024-01-18T20:04:16+00:00,2023-06-11T21:15:40+00:00,48.67566,-71.36002,PurpleAir Sensor,PurpleAir,98.0,13.375603607305935,47.0,0.07890000000000001,4.0,18.0,0.0
74,1070917,Laniel,pm25,PM2.5,µg/m³,None,2023-10-11T15:31:42+00:00,2023-06-11T21:03:03+00:00,47.05158,-79.27745,PurpleAir Sensor,PurpleAir,120.0,13.757699055266889,44.09999999999991,0.5480000000000002,4.7,18.0,0.0
75,1070925,L'Anse Saint Jean,pm25,PM2.5,µg/m³,None,2023-12-19T15:33:19+00:00,2023-06-11T21:06:55+00:00,48.232895,-70.20548,PurpleAir Sensor,PurpleAir,120.0,12.265620008873114,46.0,0.018650000000000003,3.5,16.0,0.0
76,1070932,Senneterre,pm25,PM2.5,µg/m³,None,2023-10-27T06:58:26+00:00,2023-06-11T21:11:13+00:00,48.38455,-77.25292,PurpleAir Sensor,PurpleAir,120.0,15.04182502870264,50.47499999999991,0.3257500000000002,5.4,20.0,0.0
77,1070934,Lebel-sur-Quévillon,pm25,PM2.5,µg/m³,None,2024-02-07T14:09:59+00:00,2023-06-11T21:11:15+00:00,49.052486,-76.97599,PurpleAir Sensor,PurpleAir,1000.0,40.192562424969985,380.0,0.34450000000000003,6.0,30.0,0.0
78,1070936,Rochebeaucourt,pm25,PM2.5,µg/m³,None,2023-10-10T19:09:44+00:00,2023-06-11T21:16:01+00:00,48.67559,-77.49876,PurpleAir Sensor,PurpleAir,230.0,14.229986739027844,51.0,0.19,3.8,19.0,0.0
79,1071642,BayToday Downtown North Bay,pm25,PM2.5,µg/m³,None,2024-02-07T14:08:53+00:00,2023-06-13T18:52:32+00:00,46.308132,-79.46043,PurpleAir Sensor,PurpleAir,560.0,23.381306020841375,91.5,0.94,6.4,25.0,0.004
80,1071786,CH Ville Marie,pm25,PM2.5,µg/m³,None,2023-10-11T17:08:49+00:00,2023-06-12T16:20:34+00:00,47.33301,-79.444115,PurpleAir Sensor,PurpleAir,1800.0,33.95217507621951,97.0,1.2,7.4,26.0,0.0
81,1071879,Belleterre,pm25,PM2.5,µg/m³,None,2023-10-11T17:13:04+00:00,2023-06-12T19:03:44+00:00,47.388786,-78.70055,PurpleAir Sensor,PurpleAir,560.0,24.4350163740458,110.0,1.1475000000000009,7.475,27.0,0.0069
82,1071880,8188LordSt-Outdoor,pm25,PM2.5,µg/m³,None,2023-10-19T22:13:42+00:00,2023-06-12T19:00:33+00:00,49.210423,-123.11842,PurpleAir Sensor,PurpleAir,62.0,10.328624248496995,44.125,0.88875,3.7,13.0,0.064
83,1071896,CH Alma,pm25,PM2.5,µg/m³,None,2023-12-07T15:45:46+00:00,2023-06-12T19:22:48+00:00,48.549892,-71.66496,PurpleAir Sensor,PurpleAir,140.0,13.872393301013663,48.29999999999973,0.4010000000000001,4.3,18.0,0.0
84,1073,Hamilton Downtown,pm25,PM2.5,µg/m³,ONTARIO,2023-07-17T16:00:00+00:00,2016-03-06T19:00:00+00:00,43.2561,-79.8617,Government Monitor,Unknown Governmental Organization,140.0,15.870401810979061,61.84999999999991,1.0,6.0,21.0,0.0
85,1079043,AQSU-0279,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:39+00:00,2023-06-13T16:52:56+00:00,62.449337,-114.3614,PurpleAir Sensor,PurpleAir,630.0,57.3236436298077,340.0,0.35,4.8,65.0,0.029
